2020-11-30 09:05:40,691 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [AbstractTestContextBootstrapper.java : 308] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.eureka.clientb.EurekaClientApplicationTests], using SpringBootContextLoader
2020-11-30 09:05:40,702 [main] INFO  o.s.t.c.s.AbstractContextLoader [AbstractContextLoader.java : 264] - Could not detect default resource locations for test class [com.eureka.clientb.EurekaClientApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-30 09:05:40,703 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [AnnotationConfigContextLoaderUtils.java : 83] - Could not detect default configuration classes for test class [com.eureka.clientb.EurekaClientApplicationTests]: EurekaClientApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-30 09:05:40,911 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [AbstractTestContextBootstrapper.java : 308] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.eureka.clientb.EurekaClientApplicationTests], using SpringBootContextLoader
2020-11-30 09:05:40,913 [main] INFO  o.s.t.c.s.AbstractContextLoader [AbstractContextLoader.java : 264] - Could not detect default resource locations for test class [com.eureka.clientb.EurekaClientApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-30 09:05:40,914 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [AnnotationConfigContextLoaderUtils.java : 83] - Could not detect default configuration classes for test class [com.eureka.clientb.EurekaClientApplicationTests]: EurekaClientApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-30 09:05:40,997 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [AbstractTestContextBootstrapper.java : 308] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.eureka.clientb.EurekaClientApplicationTests], using SpringBootContextLoader
2020-11-30 09:05:40,999 [main] INFO  o.s.t.c.s.AbstractContextLoader [AbstractContextLoader.java : 264] - Could not detect default resource locations for test class [com.eureka.clientb.EurekaClientApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-30 09:05:41,000 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [AnnotationConfigContextLoaderUtils.java : 83] - Could not detect default configuration classes for test class [com.eureka.clientb.EurekaClientApplicationTests]: EurekaClientApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-30 09:06:31,820 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [AbstractTestContextBootstrapper.java : 308] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.eureka.clientb.EurekaClientApplicationTests], using SpringBootContextLoader
2020-11-30 09:06:31,830 [main] INFO  o.s.t.c.s.AbstractContextLoader [AbstractContextLoader.java : 264] - Could not detect default resource locations for test class [com.eureka.clientb.EurekaClientApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
