2020-11-30 09:07:39,747 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [AbstractTestContextBootstrapper.java : 308] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.eureka.clientb.EurekaClientApplicationTests], using SpringBootContextLoader
2020-11-30 09:07:39,759 [main] INFO  o.s.t.c.s.AbstractContextLoader [AbstractContextLoader.java : 264] - Could not detect default resource locations for test class [com.eureka.clientb.EurekaClientApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-30 09:07:39,761 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [AnnotationConfigContextLoaderUtils.java : 83] - Could not detect default configuration classes for test class [com.eureka.clientb.EurekaClientApplicationTests]: EurekaClientApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-30 09:07:39,925 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [SpringBootTestContextBootstrapper.java : 237] - Found @SpringBootConfiguration com.eureka.clientb.EurekaClientApplicationB for test class com.eureka.clientb.EurekaClientApplicationTests
2020-11-30 09:07:40,097 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [AbstractTestContextBootstrapper.java : 248] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-11-30 09:07:40,115 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [AbstractTestContextBootstrapper.java : 177] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@21129f1f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5a9f4771, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@282cb7c7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7d898981, org.springframework.test.context.support.DirtiesContextTestExecutionListener@48d61b48, org.springframework.test.context.event.EventPublishingTestExecutionListener@68d279ec, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@258d79be, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@14f9390f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6c0d7c83, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@176b75f7, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5965be2d]
2020-11-30 09:07:40,621 [background-preinit] INFO  o.h.validator.internal.util.Version [Version.java : 21] - HV000001: Hibernate Validator 6.0.21.Final
2020-11-30 09:07:41,475 [main] INFO  c.e.c.EurekaClientApplicationTests [SpringApplication.java : 651] - No active profile set, falling back to default profiles: default
2020-11-30 09:07:42,767 [main] WARN  o.s.boot.actuate.endpoint.EndpointId [EndpointId.java : 155] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-11-30 09:07:43,010 [main] INFO  o.s.cloud.context.scope.GenericScope [GenericScope.java : 295] - BeanFactory id=c926a8c4-6824-3a5a-a00d-7da3b252f16f
2020-11-30 09:07:43,711 [main] WARN  c.n.c.sources.URLConfigurationSource [URLConfigurationSource.java : 121] - No URLs will be polled as dynamic configuration sources.
2020-11-30 09:07:43,712 [main] INFO  c.n.c.sources.URLConfigurationSource [URLConfigurationSource.java : 122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-30 09:07:43,724 [main] WARN  c.n.c.sources.URLConfigurationSource [URLConfigurationSource.java : 121] - No URLs will be polled as dynamic configuration sources.
2020-11-30 09:07:43,725 [main] INFO  c.n.c.sources.URLConfigurationSource [URLConfigurationSource.java : 122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-30 09:07:44,707 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor [ExecutorConfigurationSupport.java : 181] - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-30 09:07:46,906 [main] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration [DiscoveryClientOptionalArgsConfiguration.java : 78] - Eureka HTTP Client uses Jersey
2020-11-30 09:07:47,167 [main] WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger [BlockingLoadBalancerClientAutoConfiguration.java : 108] - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-11-30 09:07:47,363 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver [EndpointLinksResolver.java : 58] - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-11-30 09:07:47,565 [main] INFO  c.e.c.EurekaClientApplicationTests [StartupInfoLogger.java : 61] - Started EurekaClientApplicationTests in 7.388 seconds (JVM running for 9.044)
2020-11-30 09:07:48,196 [SpringContextShutdownHook] INFO  o.s.c.n.eureka.InstanceInfoFactory [InstanceInfoFactory.java : 72] - Setting initial instance status as: STARTING
2020-11-30 09:07:48,207 [SpringContextShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry [EurekaServiceRegistry.java : 65] - Unregistering application EUREKA-CLIENT with eureka with status DOWN
2020-11-30 09:07:48,218 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor [ExecutorConfigurationSupport.java : 218] - Shutting down ExecutorService 'applicationTaskExecutor'
