2020-11-30 09:07:52,551 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [AbstractTestContextBootstrapper.java : 308] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.eureka.consumer.EurekaConsumerApplicationTests], using SpringBootContextLoader
2020-11-30 09:07:52,562 [main] INFO  o.s.t.c.s.AbstractContextLoader [AbstractContextLoader.java : 264] - Could not detect default resource locations for test class [com.eureka.consumer.EurekaConsumerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-30 09:07:52,564 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [AnnotationConfigContextLoaderUtils.java : 83] - Could not detect default configuration classes for test class [com.eureka.consumer.EurekaConsumerApplicationTests]: EurekaConsumerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-11-30 09:07:52,732 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [SpringBootTestContextBootstrapper.java : 237] - Found @SpringBootConfiguration com.eureka.consumer.EurekaConsumerApplication for test class com.eureka.consumer.EurekaConsumerApplicationTests
2020-11-30 09:07:52,947 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [AbstractTestContextBootstrapper.java : 248] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-11-30 09:07:52,969 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [AbstractTestContextBootstrapper.java : 177] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@20435c40, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@573906eb, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@479ceda0, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6d07a63d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@571c5681, org.springframework.test.context.event.EventPublishingTestExecutionListener@488d1cd7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@68dc098b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@38ba6ce3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@d278d2b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2d6c53fc, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@25f4878b]
2020-11-30 09:07:53,485 [background-preinit] INFO  o.h.validator.internal.util.Version [Version.java : 21] - HV000001: Hibernate Validator 6.0.21.Final
2020-11-30 09:07:54,400 [main] INFO  c.e.c.EurekaConsumerApplicationTests [SpringApplication.java : 651] - No active profile set, falling back to default profiles: default
2020-11-30 09:07:55,691 [main] WARN  o.s.boot.actuate.endpoint.EndpointId [EndpointId.java : 155] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-11-30 09:07:55,972 [main] INFO  o.s.cloud.context.scope.GenericScope [GenericScope.java : 295] - BeanFactory id=7609e126-b611-3cb8-a9cd-c608da248d7e
2020-11-30 09:07:56,062 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [PostProcessorRegistrationDelegate.java : 335] - Bean 'com.eureka.consumer.feign.SayHelloService' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
